title: exp3_null, recorded: 21.11.18 16.02.51, timestamp started:2017-11-21T16:17:43.558438-08:00            , sampling:256, subject:, labels:COUNTER INTERPOLATED F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4 RAW_CQ GYROX GYROY MARKER MARKER_HARDWARE SYNC TIME_STAMP_s TIME_STAMP_ms CQ_AF3 CQ_F7 CQ_F3 CQ_FC5 CQ_T7 CQ_P7 CQ_O1 CQ_O2 CQ_P8 CQ_T8 CQ_FC6 CQ_F4 CQ_F8 CQ_AF4 CQ_CMS CQ_DRL, , chan:40, samples:5000, units:emotiv,,,,,,,,,,,,,,,,,,,,,,,,,
97,16,4136.794872,4137.692307,4139.230769,4122.948718,4135.384615,4135.128205,4078.076923,4121.538461,4121.794872,4138.589743,4091.923077,4137.948718,4126.025641,4141.410256,175,12,,,,,,,,,,,,,,,,,
98,16,4131.666666,4128.076923,4131.538461,4119.358974,4134.102564,4125.769231,4078.205128,4121.282051,4119.615384,4129.743589,4083.717948,4137.435897,4120.25641,4137.179487,159,13,,,,,,,,,,,,,,,,,
99,16,4132.051282,4127.948718,4130.897436,4118.589743,4129.615384,4123.974359,4080.641025,4121.153846,4126.282051,4122.179487,4088.076923,4140.384615,4128.974359,4141.153846,17,13,,,,,,,,,,,,,,,,,
100,16,4131.153846,4131.282051,4132.179487,4119.743589,4123.589743,4129.358974,4079.615384,4120.769231,4124.358974,4126.025641,4093.461538,4136.153846,4136.410256,4142.564102,133,13,,,,,,,,,,,,,,,,,
101,16,4123.974359,4128.846154,4127.179487,4115.641025,4125.25641,4132.179487,4081.153846,4120.769231,4123.589743,4141.538461,4086.538461,4133.205128,4130.769231,4138.846154,175,12,,,,,,,,,,,,,,,,,
102,16,4127.564102,4127.179487,4127.692307,4109.871795,4126.025641,4128.974359,4085.897436,4120.641025,4121.538461,4133.589743,4076.153846,4133.205128,4120.51282,4137.692307,159,13,,,,,,,,,,,,,,,,,
103,16,4128.205128,4126.794872,4120.769231,4106.153846,4123.461538,4124.102564,4089.358974,4119.487179,4118.076923,4120.897436,4075.51282,4127.692307,4118.846154,4138.589743,17,13,,,,,,,,,,,,,,,,,
104,16,4125.384615,4119.615384,4122.179487,4106.025641,4119.871795,4124.230769,4085.76923,4119.487179,4119.102564,4127.820513,4073.205128,4126.025641,4119.615384,4138.717949,133,13,,,,,,,,,,,,,,,,,
105,16,4125.51282,4121.923077,4126.794872,4107.564102,4115.25641,4125.769231,4085.51282,4121.025641,4127.307692,4134.230769,4074.358974,4132.692307,4123.461538,4140.384615,175,12,,,,,,,,,,,,,,,,,
106,16,4127.820513,4131.666666,4126.410256,4110.51282,4119.615384,4125.51282,4092.179487,4122.820513,4130.769231,4131.282051,4089.102564,4137.051282,4130.128205,4140.769231,159,13,,,,,,,,,,,,,,,,,
107,16,4134.358974,4130.641025,4133.974359,4115.384615,4126.410256,4126.025641,4096.153846,4123.589743,4124.871795,4128.846154,4091.282051,4138.205128,4130.897436,4139.358974,17,13,,,,,,,,,,,,,,,,,
108,16,4134.615384,4127.564102,4130.128205,4118.461538,4128.717948,4127.692307,4096.666666,4124.102564,4129.487179,4135.641025,4082.564102,4138.717949,4128.461538,4141.153846,133,13,,,,,,,,,,,,,,,,,
109,16,4139.487179,4133.846154,4131.025641,4121.282051,4129.102564,4133.846154,4099.871795,4125.128205,4137.692307,4135.51282,4085.51282,4134.871795,4127.564102,4148.461538,175,12,,,,,,,,,,,,,,,,,
110,16,4141.282051,4137.307692,4136.282051,4122.435897,4135,4139.230769,4108.461538,4125.51282,4136.410256,4126.410256,4094.871795,4135.641025,4132.435897,4150.384615,159,13,,,,,,,,,,,,,,,,,
111,16,4131.538461,4136.025641,4130.51282,4122.179487,4142.307692,4138.717949,4110.51282,4124.358974,4136.282051,4133.974359,4098.846154,4142.051282,4137.179487,4145,17,13,,,,,,,,,,,,,,,,,
112,16,4133.974359,4134.102564,4132.820513,4122.435897,4133.076923,4136.410256,4106.153846,4124.615384,4137.435897,4150.641025,4100.25641,4140,4132.179487,4143.846154,133,13,,,,,,,,,,,,,,,,,
113,16,4131.410256,4127.820513,4125.384615,4117.051282,4125.384615,4130,4107.948718,4127.051282,4134.871795,4147.820513,4096.666666,4129.743589,4125.897436,4142.564102,175,12,,,,,,,,,,,,,,,,,
114,16,4123.333333,4123.076923,4120.25641,4110.51282,4121.282051,4125.128205,4108.076923,4125.641025,4127.051282,4126.923077,4089.743589,4127.564102,4122.179487,4137.051282,159,13,,,,,,,,,,,,,,,,,
115,16,4127.692307,4128.076923,4127.051282,4111.538461,4116.666666,4127.564102,4105.25641,4121.794872,4124.102564,4120.51282,4093.717948,4131.794872,4121.282051,4136.923077,17,13,,,,,,,,,,,,,,,,,
116,16,4129.230769,4136.282051,4124.615384,4114.102564,4127.948718,4127.179487,4105.897436,4122.564102,4131.794872,4128.717948,4098.461538,4129.230769,4125.384615,4139.358974,133,13,,,,,,,,,,,,,,,,,
117,16,4128.974359,4129.230769,4125.128205,4111.923077,4130.897436,4124.615384,4110.128205,4125.25641,4132.307692,4128.076923,4091.538461,4126.538461,4125.641025,4136.794872,175,12,,,,,,,,,,,,,,,,,
118,16,4128.205128,4122.564102,4127.820513,4110.51282,4121.410256,4125,4114.743589,4125.128205,4130.897436,4124.487179,4094.743589,4134.230769,4127.179487,4137.564102,159,13,,,,,,,,,,,,,,,,,
119,16,4129.487179,4127.692307,4132.435897,4113.076923,4118.717948,4125.641025,4116.153846,4124.358974,4133.205128,4124.230769,4101.153846,4138.205128,4129.230769,4142.564102,17,13,,,,,,,,,,,,,,,,,
120,16,4133.333333,4128.717948,4132.692307,4117.051282,4118.974359,4128.333333,4120.51282,4124.615384,4134.743589,4130.641025,4097.564102,4135.384615,4125.641025,4139.615384,133,13,,,,,,,,,,,,,,,,,
121,16,4134.615384,4131.025641,4130.641025,4119.743589,4123.076923,4131.282051,4126.794872,4123.974359,4135.641025,4143.974359,4098.589743,4140.25641,4128.974359,4140.25641,175,12,,,,,,,,,,,,,,,,,
122,16,4138.717949,4131.410256,4137.948718,4115.769231,4122.435897,4127.948718,4121.794872,4123.333333,4129.743589,4137.820513,4097.307692,4144.358974,4130.51282,4148.461538,159,13,,,,,,,,,,,,,,,,,
123,16,4133.589743,4125.641025,4130.384615,4108.461538,4119.871795,4123.461538,4118.205128,4122.435897,4125.25641,4123.333333,4093.974359,4140.25641,4126.153846,4145.641025,17,13,,,,,,,,,,,,,,,,,
124,16,4129.102564,4125.128205,4126.410256,4107.564102,4120.769231,4124.615384,4125.769231,4121.538461,4125.51282,4125.641025,4093.974359,4137.435897,4123.846154,4139.230769,133,13,,,,,,,,,,,,,,,,,
125,16,4134.871795,4131.794872,4138.205128,4114.871795,4120.25641,4125.384615,4126.153846,4122.564102,4129.230769,4131.538461,4094.615384,4140,4127.564102,4146.923077,175,12,,,,,,,,,,,,,,,,,
126,16,4136.538461,4134.230769,4135.641025,4118.846154,4121.666666,4123.589743,4123.974359,4123.846154,4137.307692,4128.846154,4100.128205,4142.435897,4134.743589,4155,159,13,,,,,,,,,,,,,,,,,
127,16,4137.435897,4132.820513,4132.564102,4111.538461,4118.974359,4123.076923,4120.897436,4123.717948,4132.692307,4121.794872,4093.333333,4136.410256,4129.487179,4151.666666,54,0,,,,,,,,,,,,,,,,,
0,16,4135.384615,4135.641025,4131.666666,4111.282051,4120.128205,4122.692307,4118.461538,4122.948718,4125.897436,4124.743589,4084.743589,4135.897436,4122.692307,4147.948718,213,11,,,,,,,,,,,,,,,,,
1,16,4135.897436,4133.974359,4134.102564,4119.871795,4122.179487,4122.692307,4125.128205,4122.948718,4128.589743,4125,4090,4142.564102,4127.051282,4145.897436,241,12,,,,,,,,,,,,,,,,,
2,16,4136.794872,4125.897436,4135,4117.948718,4115.384615,4124.487179,4127.692307,4123.589743,4128.076923,4114.230769,4086.025641,4136.025641,4124.358974,4140,236,10,,,,,,,,,,,,,,,,,
3,16,4130.641025,4129.358974,4128.717948,4115.384615,4121.666666,4125.25641,4124.615384,4123.333333,4130.128205,4125.128205,4081.282051,4130.641025,4121.794872,4139.487179,63,12,,,,,,,,,,,,,,,,,
4,16,4134.743589,4135.25641,4136.025641,4119.743589,4131.794872,4126.025641,4126.666666,4122.692307,4133.333333,4143.205128,4087.435897,4139.487179,4126.025641,4143.846154,3,14,,,,,,,,,,,,,,,,,
5,16,4132.948718,4128.333333,4129.230769,4115.769231,4127.564102,4126.794872,4133.717948,4124.102564,4131.666666,4138.846154,4088.717948,4134.871795,4125.25641,4141.410256,234,8,,,,,,,,,,,,,,,,,
6,16,4122.051282,4118.461538,4116.538461,4108.333333,4122.179487,4124.615384,4127.692307,4124.743589,4130.641025,4124.871795,4081.282051,4121.666666,4120.641025,4134.871795,154,12,,,,,,,,,,,,,,,,,
7,16,4126.025641,4118.461538,4125.384615,4110,4120.641025,4123.205128,4117.051282,4123.333333,4124.615384,4114.230769,4074.102564,4125.25641,4117.435897,4135.128205,76,5,,,,,,,,,,,,,,,,,
8,16,4127.692307,4122.307692,4125.128205,4110.897436,4118.717948,4125.384615,4122.564102,4119.358974,4116.282051,4108.589743,4068.846153,4130.25641,4113.076923,4137.051282,129,12,,,,,,,,,,,,,,,,,
9,16,4123.333333,4117.564102,4118.974359,4104.743589,4114.102564,4125.897436,4125.897436,4116.025641,4109.230769,4102.179487,4056.794871,4120.51282,4103.076923,4130,145,13,,,,,,,,,,,,,,,,,
10,16,4121.153846,4115.384615,4115.128205,4102.564102,4115.897436,4124.102564,4122.948718,4118.205128,4110.769231,4094.743589,4053.205128,4113.333333,4100.897436,4127.435897,45,13,,,,,,,,,,,,,,,,,
11,16,4126.025641,4124.358974,4120.51282,4111.666666,4121.153846,4124.487179,4129.487179,4122.820513,4120.769231,4097.820512,4068.076923,4125.51282,4110.51282,4136.410256,16,13,,,,,,,,,,,,,,,,,
12,16,4135.51282,4130.51282,4133.589743,4121.666666,4120.769231,4125.384615,4135,4122.820513,4123.589743,4108.589743,4077.307692,4134.358974,4116.538461,4141.794872,23,13,,,,,,,,,,,,,,,,,
13,16,4128.589743,4128.589743,4126.410256,4115.769231,4122.307692,4122.820513,4129.358974,4120.25641,4125.769231,4123.974359,4074.487179,4129.871795,4118.717948,4139.230769,174,12,,,,,,,,,,,,,,,,,
14,16,4122.564102,4122.692307,4121.410256,4105.25641,4114.615384,4122.820513,4128.589743,4122.179487,4127.820513,4130.384615,4072.179487,4128.461538,4118.846154,4136.025641,45,13,,,,,,,,,,,,,,,,,
15,16,4123.461538,4119.743589,4124.230769,4109.743589,4113.076923,4126.153846,4137.307692,4124.487179,4127.435897,4120.384615,4076.666666,4130.128205,4119.358974,4135.641025,16,13,,,,,,,,,,,,,,,,,
16,16,4123.974359,4125.641025,4125.128205,4120.25641,4125.51282,4126.153846,4139.102564,4122.435897,4129.615384,4119.487179,4078.589743,4130.769231,4121.153846,4137.820513,0,0,,,,,,,,,,,,,,,,,
17,16,4133.076923,4131.538461,4132.179487,4122.692307,4122.435897,4124.230769,4133.846154,4119.743589,4126.923077,4124.487179,4072.820512,4133.461538,4120.384615,4140.769231,0,0,,,,,,,,,,,,,,,,,
18,16,4135,4132.692307,4130.25641,4121.025641,4119.615384,4122.435897,4136.410256,4120,4126.153846,4126.025641,4076.153846,4140.384615,4125.128205,4142.948718,0,0,,,,,,,,,,,,,,,,,
19,16,4132.820513,4133.076923,4133.717948,4123.461538,4128.461538,4123.076923,4140.51282,4122.820513,4130.769231,4129.743589,4083.717948,4141.794872,4130.384615,4145.25641,0,0,,,,,,,,,,,,,,,,,
20,16,4132.564102,4131.282051,4136.025641,4125.384615,4127.051282,4126.153846,4140.769231,4123.076923,4134.358974,4132.692307,4082.435897,4138.589743,4130.128205,4144.615384,0,0,,,,,,,,,,,,,,,,,
21,16,4126.538461,4128.461538,4126.153846,4122.435897,4122.435897,4125.897436,4147.435897,4122.564102,4136.410256,4133.076923,4081.410256,4137.051282,4130.51282,4140.128205,0,0,,,,,,,,,,,,,,,,,
22,16,4126.153846,4129.487179,4131.410256,4125,4127.435897,4126.410256,4151.153846,4123.846154,4135.897436,4130,4085.897436,4136.153846,4130.641025,4138.717949,0,0,,,,,,,,,,,,,,,,,
23,16,4127.435897,4134.615384,4131.282051,4131.153846,4136.794872,4126.282051,4149.74359,4123.333333,4139.487179,4141.282051,4095.128205,4140.641025,4132.307692,4139.74359,0,0,,,,,,,,,,,,,,,,,
24,16,4131.794872,4132.307692,4128.589743,4128.846154,4134.615384,4123.589743,4152.564102,4124.615384,4141.538461,4152.179487,4094.487179,4141.538461,4128.846154,4142.692307,0,0,,,,,,,,,,,,,,,,,
25,16,4137.820513,4130.25641,4135.769231,4130.384615,4131.025641,4128.717948,4155.641025,4129.230769,4139.871795,4148.076923,4087.179487,4139.230769,4125.897436,4147.179487,0,0,,,,,,,,,,,,,,,,,
26,16,4137.179487,4138.076923,4136.794872,4138.333333,4131.794872,4134.487179,4153.205128,4127.179487,4140.769231,4145.641025,4089.230769,4142.948718,4132.564102,4148.205128,0,0,,,,,,,,,,,,,,,,,
27,16,4133.846154,4133.589743,4133.974359,4131.666666,4126.282051,4128.589743,4151.282051,4120.897436,4134.487179,4136.666666,4085.384615,4140.128205,4126.923077,4141.666666,0,0,,,,,,,,,,,,,,,,,
28,16,4124.102564,4121.923077,4123.846154,4117.692307,4124.102564,4122.307692,4156.666666,4121.923077,4131.153846,4131.538461,4076.282051,4129.871795,4116.153846,4132.564102,0,0,,,,,,,,,,,,,,,,,
29,16,4117.948718,4119.102564,4120,4117.307692,4124.230769,4125.641025,4155.769231,4123.589743,4131.666666,4125.641025,4076.025641,4125.128205,4117.692307,4128.974359,0,0,,,,,,,,,,,,,,,,,
30,16,4118.846154,4118.333333,4121.153846,4121.923077,4120.384615,4125.769231,4148.589743,4122.179487,4126.410256,4118.589743,4081.794871,4122.564102,4118.205128,4128.846154,0,0,,,,,,,,,,,,,,,,,
31,16,4115.641025,4115.897436,4116.538461,4120.25641,4119.615384,4120.769231,4151.025641,4122.179487,4127.435897,4125.25641,4089.102564,4121.923077,4116.538461,4130.25641,0,0,,,,,,,,,,,,,,,,,
32,16,4120.641025,4116.153846,4124.743589,4118.974359,4116.153846,4123.205128,4151.538461,4121.666666,4128.076923,4126.538461,4091.666666,4130.384615,4117.692307,4136.153846,0,0,,,,,,,,,,,,,,,,,
33,16,4124.487179,4119.743589,4123.076923,4121.410256,4116.538461,4125.897436,4146.410256,4120.769231,4122.692307,4121.794872,4093.205128,4133.076923,4119.358974,4137.435897,0,0,,,,,,,,,,,,,,,,,
34,16,4122.051282,4118.846154,4117.948718,4123.076923,4120.769231,4122.051282,4143.076923,4120.769231,4119.230769,4123.076923,4095.128205,4127.692307,4115.51282,4130.769231,0,0,,,,,,,,,,,,,,,,,
35,16,4122.692307,4117.051282,4129.487179,4124.743589,4118.589743,4122.692307,4141.538461,4121.153846,4123.333333,4128.846154,4099.358974,4130.384615,4114.358974,4131.666666,0,0,,,,,,,,,,,,,,,,,
36,16,4120,4120.51282,4130.641025,4125.25641,4117.179487,4123.974359,4140.897436,4120.897436,4130,4130.769231,4106.410256,4135.51282,4123.076923,4138.076923,0,0,,,,,,,,,,,,,,,,,
37,16,4118.974359,4117.051282,4123.205128,4118.717948,4109.358974,4117.948718,4136.025641,4117.948718,4121.025641,4118.846154,4099.743589,4128.461538,4119.102564,4129.871795,0,0,,,,,,,,,,,,,,,,,
38,16,4114.615384,4110.769231,4114.230769,4112.435897,4101.153846,4116.794872,4139.74359,4116.923077,4112.948718,4112.564102,4089.230769,4120.51282,4108.076923,4121.282051,0,0,,,,,,,,,,,,,,,,,
39,16,4113.461538,4114.487179,4117.692307,4117.820513,4105.897436,4123.717948,4152.307692,4120.25641,4123.717948,4114.358974,4093.589743,4124.102564,4112.307692,4130.384615,0,0,,,,,,,,,,,,,,,,,
40,16,4119.871795,4116.666666,4125.897436,4123.717948,4110.897436,4123.974359,4150,4122.692307,4132.179487,4107.820513,4099.102564,4125.25641,4117.948718,4137.692307,0,0,,,,,,,,,,,,,,,,,
41,16,4114.230769,4115.769231,4115.384615,4120.769231,4113.717948,4120.51282,4143.461538,4120.769231,4130,4118.205128,4098.589743,4121.794872,4118.461538,4133.846154,0,0,,,,,,,,,,,,,,,,,
42,16,4115.51282,4117.564102,4118.205128,4119.487179,4111.923077,4123.076923,4148.205128,4121.153846,4127.307692,4140.384615,4099.230769,4126.282051,4121.153846,4133.461538,0,0,,,,,,,,,,,,,,,,,
43,16,4122.179487,4117.307692,4125.769231,4123.461538,4111.923077,4122.435897,4150.128205,4122.564102,4130.384615,4138.205128,4105.769231,4133.333333,4126.153846,4137.179487,0,0,,,,,,,,,,,,,,,,,
44,16,4120.769231,4117.692307,4122.307692,4124.358974,4114.615384,4121.410256,4145.128205,4121.153846,4130.25641,4126.794872,4106.025641,4133.461538,4123.974359,4136.666666,0,0,,,,,,,,,,,,,,,,,
45,16,4120,4117.051282,4124.230769,4119.487179,4108.717948,4123.974359,4149.871795,4120.384615,4121.794872,4118.717948,4093.974359,4126.025641,4111.794872,4133.589743,0,0,,,,,,,,,,,,,,,,,
46,16,4115.51282,4114.230769,4120,4115.25641,4111.153846,4123.333333,4159.230769,4121.410256,4125.897436,4116.025641,4091.410256,4123.461538,4111.153846,4133.846154,0,0,,,,,,,,,,,,,,,,,
47,16,4120,4115.641025,4121.410256,4120.51282,4118.076923,4123.717948,4161.538461,4123.333333,4135.384615,4121.410256,4097.948718,4129.871795,4121.282051,4136.025641,0,0,,,,,,,,,,,,,,,,,
48,16,4128.076923,4120.25641,4123.205128,4125,4114.358974,4125,4161.153846,4123.205128,4132.435897,4120.641025,4098.846154,4131.153846,4122.948718,4137.179487,0,0,,,,,,,,,,,,,,,,,
49,16,4126.025641,4122.435897,4122.179487,4123.589743,4115.641025,4124.743589,4159.230769,4123.717948,4129.743589,4115.51282,4102.692307,4129.871795,4123.333333,4138.076923,0,0,,,,,,,,,,,,,,,,,
50,16,4128.461538,4125,4133.717948,4126.538461,4122.564102,4125.25641,4155.897436,4126.153846,4130.897436,4127.051282,4109.102564,4135.51282,4129.615384,4140.641025,0,0,,,,,,,,,,,,,,,,,
51,16,4127.307692,4126.794872,4131.025641,4128.205128,4123.205128,4125.769231,4153.846154,4124.743589,4130.769231,4143.333333,4112.051282,4141.538461,4133.717948,4142.179487,0,0,,,,,,,,,,,,,,,,,
52,16,4120.769231,4119.230769,4121.153846,4122.307692,4118.717948,4123.076923,4149.871795,4121.923077,4125.25641,4132.564102,4104.871795,4135.51282,4123.333333,4137.564102,0,0,,,,,,,,,,,,,,,,,
53,16,4116.923077,4114.871795,4120.384615,4120.25641,4119.358974,4122.179487,4145.51282,4122.051282,4124.102564,4119.487179,4096.538461,4126.923077,4116.666666,4132.564102,0,0,,,,,,,,,,,,,,,,,
54,16,4118.974359,4120.769231,4121.025641,4122.692307,4126.025641,4124.487179,4149.487179,4124.102564,4134.102564,4127.692307,4103.205128,4130.384615,4128.205128,4135.641025,0,0,,,,,,,,,,,,,,,,,
55,16,4124.743589,4122.435897,4124.871795,4123.461538,4126.153846,4123.974359,4151.153846,4124.358974,4136.794872,4125.769231,4107.948718,4134.871795,4128.974359,4140,0,0,,,,,,,,,,,,,,,,,
56,16,4121.025641,4120.897436,4121.025641,4123.589743,4122.564102,4123.461538,4146.538461,4122.564102,4130.769231,4115.384615,4102.435897,4133.205128,4122.179487,4138.589743,0,0,,,,,,,,,,,,,,,,,
57,16,4121.282051,4119.615384,4122.820513,4122.948718,4117.564102,4123.974359,4143.205128,4121.282051,4121.410256,4113.076923,4094.615384,4129.871795,4118.589743,4135.641025,0,0,,,,,,,,,,,,,,,,,
58,16,4129.358974,4122.435897,4129.871795,4123.076923,4114.487179,4125.641025,4143.333333,4121.666666,4118.846154,4114.615384,4097.435897,4134.230769,4118.076923,4135.769231,0,0,,,,,,,,,,,,,,,,,
59,16,4128.974359,4127.948718,4130.897436,4126.153846,4121.538461,4125.51282,4144.487179,4121.794872,4127.435897,4120.769231,4108.589743,4144.358974,4125.128205,4141.410256,0,0,,,,,,,,,,,,,,,,,
